label,count_train,count_val,count_test,total_count
Beethoven,447,56,56,559
Mozart,157,20,19,196
Bach,98,12,13,123
Brahms,95,12,12,119
Haydn,92,11,12,115
Strauss,77,10,9,96
Schubert,76,9,10,95
Debussy,62,8,8,78
Chopin,59,7,8,74
Mahler,51,7,6,64
Dvorak,50,7,6,63
Shostakovich,43,6,5,54
Mendelssohn,29,3,4,36
Handel,25,3,3,31
Schumann,22,3,3,28
Rachmaninoff,22,3,3,28
Khachaturian,22,3,2,27
Tchaikovsky,20,2,3,25
Saint,18,2,3,23
Bartok,18,2,2,22
Ravel,17,2,2,21
Wagner,14,2,1,17
Coleridge,13,2,1,16
Liszt,11,1,2,14
Rimsky,9,1,1,11
Milhaud,7,1,1,9
Prokofiev,7,1,1,9
Granados,6,1,1,8
Kodaly,6,1,1,8
Roussel,6,1,1,8
