label,count_train,count_val,count_test,total_count
Exercises; Manuscript copy; US-NYp Mus. Res. *MN p.v.30,14,2,2,18
32 Pieces; Manuscript copy; US-AAu M11.K38 M7 16--,10,1,2,13
Il Demofoonte; Manuscript copy; P-Ln C.I.C. n|o 98,10,1,2,13
Il Siroe re di Persia; Manuscript copy; P-Ln C.I.C. no 100,9,1,2,12
"Das wohltemperierte Klavier (Excerpts); Manuscript copy; BWV 846, BWV 847, BWV 852, BWV 853, BWV 854, BWV 855, BWV 856, BWV 857, BWV 858, BWV 859; US-BER M22 .B11 W6 1725",9,2,1,12
24 Canons–G major; Manuscript copy; US-NH Ma.21.Y11.A29 (LM 4704),9,2,1,12
Vologeso; Manuscript copy; P-Ln C.I.C. n|o 77,9,2,1,12
Folias; Manuscript copy; US-LOu Profana 47,9,1,2,12
27 Dances; Manuscript copy; US-BEm MS 437 A-B,9,1,1,11
Versets–F major; Manuscript copy; US-LOu Sacra 137,8,1,1,10
"Inventions–B minor; Manuscript copy; BWV 772, BWV 773, BWV 774, BWV 775, BWV 776, BWV 777, BWV 778, BWV 779, BWV 780, BWV 781; US-NYp Mus. Res. JOG 71-3",8,1,1,10
"39 Chorale preludes–F minor; Manuscript copy; BWV 599, BWV 600, BWV 601, BWV 602, BWV 696, BWV 637, BWV 642, BWV 602, BWV 603, BWV 604; US-NH Ma21.Y11.B12 (LM 4719)",8,1,1,10
Dances–D major; Manuscript copy; US-AAu M40.M29 18--,8,1,1,10
Costanza e fortezza; Manuscript copy; KöcF 315; D-MEIr Ed 126p,7,1,1,9
19 Duets–G major; Manuscript copy; US-BEm MS 806,7,1,1,9
33 Dances–C major; Manuscript copy; US-BEm MS 809,7,1,1,9
Most Votes Carry It (Excerpts); Manuscript copy; US-Cu MS 444,7,1,1,9
Tigrane re d'Armenia; Manuscript copy; D-MEIr Ed 115l,7,1,1,9
"Das wohltemperierte Klavier–G minor (Excerpts); Manuscript copy; BWV 870, BWV 871, BWV 872, BWV 873, BWV 874, BWV 875, BWV 876, BWV 877, BWV 878, BWV 879; US-NH LM 4837",7,1,1,9
20 Sonatas–D major; Manuscript copy; US-BEm MS 1001,7,1,1,9
Folias; Manuscript copy; US-BEm MS 908,7,1,1,9
Vespers; Manuscript copy; P-Lf Ms.XXIII,6,1,1,8
Dances; Manuscript copy; D-Dl Mus.1-B-101,6,1,1,8
26 Solfeggios–A major; Manuscript copy; US-BEm MS 81,6,1,1,8
"Axur re d'Ormus; Manuscript copy; BPI 5, AngS 12; D-LEm Becker III.15.25",6,1,1,8
30 Dances–D major; Autograph manuscript; LabB 332; US-Wc ML96.B84,6,1,1,8
Masses; Manuscript copy; US-LOu Sacra 137,6,1,1,8
Mario fuggitivo; Manuscript copy; LinB 811.MAR; D-MEIr Ed 115k,6,1,1,8
"Clavier-Übung dritter Teil–E♭ major; Manuscript copy; BWV 552, BWV 669, BWV 670, BWV 671, BWV 672, BWV 673, BWV 674, BWV 675, BWV 676, BWV 677; US-CAe Mus 627.1.407",6,1,1,8
24 Minuets–B♭ major; Manuscript copy; US-BEm MS 556 A-B,6,1,1,8
Der Apotheker und der Doktor; Manuscript copy; KreD 292; D-Zsch 170,6,1,1,8
Sonatas–C major; Manuscript copy; US-BEm MS 935,6,1,1,8
Sarabandes; Manuscript copy; D-Dl Mus.1-B-101,6,1,1,8
"Das wohltemperierte Klavier–B minor (Excerpts); Manuscript copy; BWV 870, BWV 871, BWV 872, BWV 873, BWV 874, BWV 875, BWV 876, BWV 877, BWV 878, BWV 879; US-BER MS 543",6,1,1,8
Will o' the Wisp (Excerpts); Manuscript copy; US-Cu MS 444,6,1,1,8
21 Versicles–C major; Manuscript copy; US-NH Ma21.Y11.A34 (LM 4969),6,1,1,8
12 Preludes and Fugues–A major; Manuscript copy; US-NH Ma21.Y11.B326 (LM 4656),5,1,1,7
Il trionfo dell'amicizia e dell'amore; Manuscript copy; D-MEIr Ed 119e,5,1,1,7
Requiems–Mode: 6t – Hypolydian; Manuscript copy; E-CAL LA. Ms.3 (8),5,1,1,7
"Suites–C major; Manuscript copy; ZimP 629/16, ZimP 627/2b, ZimP 627/9a, ZimP 628/40, ZimP 628/Appendix 1, ZimP 628/31, ZimP 629/10b, ZimP 574/1, ZimP 574/2, ZimP 629/41; US-LAuc fP985M4 C697",5,1,1,7
